TimeToMaturity,StrikePrice,CallOptionPrice
0.024658,1550,45.188
0.024658,1560,37.096
0.024658,1570,29.562
0.024658,1580,22.739
0.024658,1590,16.771
0.024658,1600,11.77
0.024658,1610,7.7927
0.024658,1620,4.8206
0.024658,1630,2.7572
0.024658,1640,1.4419
0.024658,1650,0.68155
0.024658,1660,0.28773
0.024658,1670,0.10721
0.024658,1680,0.034846
0.024658,1690,0.0097665
0.024658,1700,0.0023344
0.024658,1710,0.0004708
0.024658,1720,7.931e-05
0.024658,1730,1.1053e-05
0.024658,1740,1.2631e-06
0.024658,1750,1.1736e-07
0.10137,1550,50.624
0.10137,1560,42.426
0.10137,1570,34.423
0.10137,1580,26.799
0.10137,1590,21.554
0.10137,1600,17.655
0.10137,1610,14.32
0.10137,1620,11.486
0.10137,1630,9.1072
0.10137,1640,7.1363
0.10137,1650,5.5257
0.10137,1660,4.2273
0.10137,1670,3.1951
0.10137,1680,2.3857
0.10137,1690,1.7597
0.10137,1700,1.2823
0.10137,1710,0.92304
0.10137,1720,0.6564
0.10137,1730,0.46116
0.10137,1740,0.3201
0.10137,1750,0.21954
0.17808,1550,56.226
0.17808,1560,47.801
0.17808,1570,40.494
0.17808,1580,34.12
0.17808,1590,28.558
0.17808,1600,23.724
0.17808,1610,19.55
0.17808,1620,15.975
0.17808,1630,12.942
0.17808,1640,10.393
0.17808,1650,8.2747
0.17808,1660,6.5312
0.17808,1670,5.1112
0.17808,1680,3.9666
0.17808,1690,3.0532
0.17808,1700,2.3313
0.17808,1710,1.7663
0.17808,1720,1.3282
0.17808,1730,0.99146
0.17808,1740,0.73488
0.17808,1750,0.54098
0.34795,1550,68.283
0.34795,1560,62.31
0.34795,1570,56.618
0.34795,1580,51.215
0.34795,1590,46.106
0.34795,1600,41.296
0.34795,1610,36.79
0.34795,1620,32.588
0.34795,1630,28.691
0.34795,1640,25.098
0.34795,1650,21.804
0.34795,1660,18.803
0.34795,1670,16.09
0.34795,1680,13.654
0.34795,1690,11.484
0.34795,1700,9.567
0.34795,1710,7.8896
0.34795,1720,6.4361
0.34795,1730,5.1901
0.34795,1740,4.1372
0.34795,1750,3.3194
0.84932,1550,95.112
0.84932,1560,89.639
0.84932,1570,84.358
0.84932,1580,79.271
0.84932,1590,74.378
0.84932,1600,69.679
0.84932,1610,65.174
0.84932,1620,60.861
0.84932,1630,56.741
0.84932,1640,52.81
0.84932,1650,49.067
0.84932,1660,45.51
0.84932,1670,42.135
0.84932,1680,38.939
0.84932,1690,35.919
0.84932,1700,33.07
0.84932,1710,30.388
0.84932,1720,27.869
0.84932,1730,25.507
0.84932,1740,23.297
0.84932,1750,21.235
